,CityST,lon,pop,AirportDist,lat,BaseDist,count,per_capita_sum,per_capita_avg,sqrt_airport,sqrt_base,sqrt_per_capita,cubert_per_capita,log_airport,log_base,log_per_capita
4703,"Vienna, WV",-81.5484578,10749.0,9.60898242326,39.3270191,106.240866287,1,9.30319099451e-05,9.30319099451e-05,3.09983587037,10.3073210044,0.00964530507268,0.0453117301944,2.2626983301,4.66570883975,-9.28256800597
4704,"Oak Park, IL",-87.7845025,53979.4,11.3311432251,41.8850317,47.4724099259,5,9.29983058298e-05,9.2627928432e-05,3.36617635086,6.89002249096,0.00964356292196,0.0453062738444,2.42755497243,3.86014869862,-9.28292928186
4705,"Freeport, NY",-73.5831835,43090.75,16.3577529013,40.6576022,38.1222876799,4,9.28352486799e-05,9.28273469364e-05,4.04447189399,6.17432487645,0.00963510501655,0.0452797793342,2.79470196852,3.64079908957,-9.28468415538
4706,"Glendale Heights, IL",-88.0717353,32579.3333333,9.12068446791,41.9103068,47.9711733274,3,9.2195307948e-05,9.20829155497e-05,3.02004709697,6.92612253194,0.00960183877953,0.0451754970615,2.21054485258,3.87060027482,-9.29160131863
4707,"Albany, GA",-84.1556809,76059.4285714,6.00659713988,31.5782062,9.85884068599,7,9.21106033663e-05,9.20332972713e-05,2.45083600836,3.1398790878,0.00959742691383,0.0451616578031,1.79285838851,2.28836858422,-9.29252049249
4708,"Clayton, CA",-121.9357925,10897.0,11.9138043702,37.9410341,36.1081480167,1,9.17683766174e-05,9.17683766174e-05,3.45163792571,6.00900557636,0.00957958123393,0.0451056573447,2.47769775891,3.5865185467,-9.29624280098
4709,"Minooka, IL",-88.2617305,10924.0,9.98881180771,41.4553084,13.1308384029,1,9.15415598682e-05,9.15415598682e-05,3.16050815656,3.62364987311,0.00956773535734,0.0450684653062,2.30146564742,2.57496354027,-9.29871748259
4710,"Carrollton, GA",-85.0766113,22115.5,9.05484345673,33.5801103,61.0811906971,2,9.13993778503e-05,9.04343107775e-05,3.00912669337,7.8154456493,0.00956030218405,0.0450451198231,2.20329980314,4.11220397422,-9.30027188642
4711,"Marinette, WI",-87.6307265,10968.0,3.02900074781,45.0999594,221.101274792,1,9.117432531e-05,9.117432531e-05,1.74040246719,14.869474597,0.0095485247714,0.045008117928,1.10823277893,5.39862085353,-9.30273722124
4712,"Brookings, SD",-96.7983877,22056.0,1.64361380195,44.3113573,79.7787373065,2,9.06782734857e-05,9.06782734857e-05,1.28203502368,8.9318943851,0.00952251403179,0.0449263442778,0.496897355382,4.37925701916,-9.30819277214
4713,"Auburndale, FL",-81.8037622043,11032.0,6.90358441013,28.10798645,74.4503970396,1,9.06453952139e-05,9.06453952139e-05,2.62746729954,8.62846435002,0.00952078753118,0.0449209137998,1.93204075645,4.31013309209,-9.30855541947
